LaureateID,LaureateName,LaureateName0,prize_year,prize_pubyear,first_pub_year,award_gap,study_year,photo_link
30189,"carrel, a",Alexis Carrel,1912,1910,1905,2,7,https://www.nobelprize.org/images/carrel-12888-portrait-small.jpg
30188,charles robert richet,Charles Richet,1913,1902,1902,11,11,https://www.nobelprize.org/images/richet-12893-portrait-small.jpg
30187,"krogh, a",August Krogh,1920,1919,1910,1,10,https://www.nobelprize.org/images/krogh-12916-portrait-small.jpg
30185,"meyerhof, o",Otto Meyerhof,1922,1919,1919,3,3,https://www.nobelprize.org/images/meyerhof-12927-portrait-small.jpg
30186,"hill, av",Archibald V. Hill,1922,1910,1910,12,12,https://www.nobelprize.org/images/hill-12926-portrait-small.jpg
30183,"macleod, jjr",John Macleod,1923,1921,1907,2,16,https://www.nobelprize.org/images/macleod-12933-portrait-small.jpg
30184,"banting, fg",Frederick G. Banting,1923,1922,1922,1,1,https://www.nobelprize.org/images/banting-12932-portrait-small.jpg
30182,"einthoven, w",Willem Einthoven,1924,1903,1903,21,21,https://www.nobelprize.org/images/einthoven-12936-portrait-small.jpg
30181,"nicolle, c",Charles Nicolle,1928,1909,1909,19,19,https://www.nobelprize.org/images/nicolle-12959-portrait-small.jpg
30180,"hopkins, fg",Sir Frederick Hopkins,1929,1912,1893,17,36,https://www.nobelprize.org/images/hopkins-12965-portrait-small.jpg
30179,"warburg, o",Otto Warburg,1931,1928,1923,3,8,https://www.nobelprize.org/images/warburg-12976-portrait-small.jpg
30178,"adrian, ed",Edgar Adrian,1932,1928,1926,4,6,https://www.nobelprize.org/images/adrian-12981-portrait-small.jpg
30177,"morgan, th",Thomas H. Morgan,1933,1916,1890,17,43,https://www.nobelprize.org/images/morgan-12985-portrait-small.jpg
30174,"minot, gr",George R. Minot,1934,1926,1912,8,22,https://www.nobelprize.org/images/minot-12991-portrait-small.jpg
30175,"whipple, gh",George H. Whipple,1934,1920,1911,14,23,https://www.nobelprize.org/images/whipple-12993-portrait-small.jpg
30176,"murphy, wp",William P. Murphy,1934,1926,1924,8,10,https://www.nobelprize.org/images/murphy-12992-portrait-small.jpg
30173,"spemann, h",Hans Spemann,1935,1924,1918,11,17,https://www.nobelprize.org/images/spemann-12997-portrait-small.jpg
30171,"dale, hh",Sir Henry Dale,1936,1914,1905,22,31,https://www.nobelprize.org/images/dale-13002-portrait-small.jpg
30172,"loewi, o",Otto Loewi,1936,1924,1924,12,12,https://www.nobelprize.org/images/loewi-13003-portrait-small.jpg
30170,"gyorgyi, as",Albert Szent-Györgyi,1937,1932,1932,5,5,https://www.nobelprize.org/images/szent-gyorgyi-13010-portrait-small.jpg
30169,"heymans, c",Corneille Heymans,1938,1931,1928,7,10,https://www.nobelprize.org/images/heymans-13016-portrait-small.jpg
30168,"domagk, g",Gerhard Domagk,1939,1935,1935,4,4,https://www.nobelprize.org/images/domagk-13022-portrait-small.jpg
30166,"doisy, ea",Edward A. Doisy,1943,1939,1923,4,20,https://www.nobelprize.org/images/doisy-13026-portrait-small.jpg
30167,"dam, h",Henrik Dam,1943,1935,1934,8,9,https://www.nobelprize.org/images/dam-13025-portrait-small.jpg
30164,"erlanger, j",Joseph Erlanger,1944,1929,1901,15,43,https://www.nobelprize.org/images/erlanger-13030-portrait-small.jpg
30165,"gasser, hs",Herbert S. Gasser,1944,1929,1914,15,30,https://www.nobelprize.org/images/gasser-13031-portrait-small.jpg
30161,"chain, e",Ernst B. Chain,1945,1940,1940,5,5,https://www.nobelprize.org/images/chain-13036-portrait-small.jpg
30162,"fleming, a",Sir Alexander Fleming,1945,1929,1907,16,38,https://www.nobelprize.org/images/fleming-13037-portrait-small.jpg
30163,"florey, hw",Sir Howard Florey,1945,1940,1925,5,20,https://www.nobelprize.org/images/florey-13038-portrait-small.jpg
30160,"muller, hj",Hermann J. Muller,1946,1928,1914,18,32,https://www.nobelprize.org/images/muller-13045-portrait-small.jpg
30157,"cori, gt",Carl Cori,1947,1929,1921,18,26,https://www.nobelprize.org/images/cori-cf-13051-portrait-small.jpg
30158,"houssay, ba",Bernardo Houssay,1947,1942,1925,5,22,https://www.nobelprize.org/images/houssay-13053-portrait-small.jpg
30159,"cori, cf",Gerty Cori,1947,1929,1923,18,24,https://www.nobelprize.org/images/cori-gt-13052-portrait-small.jpg
30156,"muller, p",Paul Müller,1948,1944,1944,4,4,https://www.nobelprize.org/images/muller-13059-portrait-small.jpg
30154,"hess, wr",Walter Hess,1949,1936,1936,13,13,https://www.nobelprize.org/images/hess-13063-portrait-small.jpg
30155,"moniz, e",Egas Moniz,1949,1937,1937,12,12,https://www.nobelprize.org/images/moniz-13064-portrait-small.jpg
30151,"kendall, ec",Edward C. Kendall,1950,1936,1910,14,40,https://www.nobelprize.org/images/kendall-13071-portrait-small.jpg
30152,"reichstein, t",Tadeus Reichstein,1950,1934,1926,16,24,https://www.nobelprize.org/images/reichstein-13072-portrait-small.jpg
30153,"hench, ps",Philip S. Hench,1950,1949,1922,1,28,https://www.nobelprize.org/images/hench-13070-portrait-small.jpg
30150,"theiler, m",Max Theiler,1951,1937,1930,14,21,https://www.nobelprize.org/images/theiler-13078-portrait-small.jpg
30149,"waksman, sa",Selman A. Waksman,1952,1940,1916,12,36,https://www.nobelprize.org/images/waksman-13085-portrait-small.jpg
30147,"lipmann, f",Fritz Lipmann,1953,1945,1935,8,18,https://www.nobelprize.org/images/lipmann-13092-portrait-small.jpg
30148,"krebs, ha",Hans Krebs,1953,1937,1937,16,16,https://www.nobelprize.org/images/krebs-13091-portrait-small.jpg
30144,"robbins, fc",Frederick C. Robbins,1954,1949,1946,5,8,https://www.nobelprize.org/images/robbins-13098-portrait-small.jpg
30145,"weller, th",Thomas H. Weller,1954,1949,1940,5,14,https://www.nobelprize.org/images/weller-13099-portrait-small.jpg
30146,"enders, jf",John F. Enders,1954,1949,1929,5,25,https://www.nobelprize.org/images/enders-13097-portrait-small.jpg
30143,"theorell, h",Hugo Theorell,1955,1935,1935,20,20,https://www.nobelprize.org/images/theorell-13105-portrait-small.jpg
30141,"richards, dw",Dickinson W. Richards,1956,1948,1927,8,29,https://www.nobelprize.org/images/richards-13113-portrait-small.jpg
30142,"cournand, a",André F. Cournand,1956,1948,1935,8,21,https://www.nobelprize.org/images/cournand-13111-portrait-small.jpg
30140,"bovet, d",Daniel Bovet,1957,1937,1937,20,20,https://www.nobelprize.org/images/bovet-13119-portrait-small.jpg
30137,"lederberg, j",Joshua Lederberg,1958,1946,1946,12,12,https://www.nobelprize.org/images/lederberg-13126-portrait-small.jpg
30138,"beadle, gw",George Beadle,1958,1941,1927,17,31,https://www.nobelprize.org/images/beadle-13125-portrait-small.jpg
30139,"tatum, el",Edward Tatum,1958,1941,1938,17,20,https://www.nobelprize.org/images/tatum-13127-portrait-small.jpg
30135,"kornberg, a",Arthur Kornberg,1959,1958,1942,1,17,https://www.nobelprize.org/images/kornberg-13134-portrait-small.jpg
30136,"ochoa, s",Severo Ochoa,1959,1955,1934,4,25,https://www.nobelprize.org/images/ochoa-13135-portrait-small.jpg
30133,"medawar, pb",Peter Medawar,1960,1951,1937,9,23,https://www.nobelprize.org/images/medawar-13142-portrait-small.jpg
30134,"burnet, fm",Sir Frank Macfarlane Burnet,1960,1950,1925,10,35,https://www.nobelprize.org/images/burnet-13141-portrait-small.jpg
30132,"vonbekesy, g",Georg von Békésy,1961,1947,1947,14,14,https://www.nobelprize.org/images/bekesy-13147-portrait-small.jpg
30129,"wilkins, mhf",Maurice Wilkins,1962,1953,1950,9,12,https://www.nobelprize.org/images/wilkins-13156-portrait-small.jpg
30130,"watson, jd",James Watson,1962,1953,1950,9,12,https://www.nobelprize.org/images/watson-13155-portrait-small.jpg
30131,"crick, fhc",Francis Crick,1962,1953,1952,9,10,https://www.nobelprize.org/images/crick-13154-portrait-small.jpg
30126,"eccles, jc",Sir John Eccles,1963,1954,1928,9,35,https://www.nobelprize.org/images/eccles-13162-portrait-small.jpg
30127,"hodgkin, al",Alan Hodgkin,1963,1952,1937,11,26,https://www.nobelprize.org/images/hodgkin-13163-portrait-small.jpg
30128,"huxley, af",Andrew Huxley,1963,1952,1939,11,24,https://www.nobelprize.org/images/huxley-13164-portrait-small.jpg
