LaureateID,LaureateName,LaureateName0,prize_year,prize_pubyear,first_pub_year,award_gap,study_year,photo_link
10193,"zeeman, p",Pieter Zeeman,1902,1897,1896,5,6,https://www.nobelprize.org/images/zeeman-13547-portrait-small.jpg
10192,"lenard, p",Philipp Lenard,1905,1894,1894,11,11,https://www.nobelprize.org/images/lenard-12847-portrait-small.jpg
10191,joseph john thomson,J.J. Thomson,1906,1897,1897,9,9,https://www.nobelprize.org/images/thomson-12853-portrait-small.jpg
10190,albert a. michelson,Albert A. Michelson,1907,1887,1872,20,35,https://www.nobelprize.org/images/michelson-12859-portrait-small.jpg
10189,"wien, w",Wilhelm Wien,1911,1883,1902,28,9,https://www.nobelprize.org/images/wien-12884-portrait-small.jpg
10188,"onnes, hk",Heike Kamerlingh Onnes,1913,1911,1911,2,2,https://www.nobelprize.org/images/onnes-12895-portrait-small.jpg
10187,"laue, m",Max von Laue,1914,1913,1913,1,1,https://www.nobelprize.org/images/laue-12898-portrait-small.jpg
10186,"bragg, wh",William Bragg,1915,1913,1913,2,2,https://www.nobelprize.org/images/wh-bragg-12901-portrait-small.jpg
10184,"barkla, cg",Charles Glover Barkla,1917,1906,1905,11,12,https://www.nobelprize.org/images/barkla-12907-portrait-small.jpg
10183,"planck, m",Max Planck,1918,1901,1901,17,17,https://www.nobelprize.org/images/planck-12909-portrait-small.jpg
10182,"stark, j",Johannes Stark,1919,1914,1904,5,15,https://www.nobelprize.org/images/stark-12913-portrait-small.jpg
10181,charles edouard guillaume,Charles Edouard Guillaume,1920,1919,1919,1,1,https://www.nobelprize.org/images/guillaume-12918-portrait-small.jpg
10180,"einstein, a",Albert Einstein,1921,1905,1901,16,20,https://www.nobelprize.org/images/einstein-12923-portrait-small.jpg
10179,"bohr, n",Niels Bohr,1922,1913,1913,9,9,https://www.nobelprize.org/images/bohr-12929-portrait-small.jpg
10178,"millikan, ra",Robert A. Millikan,1923,1910,1895,13,28,https://www.nobelprize.org/images/millikan-12934-portrait-small.jpg
10177,"siegbahn, m",Manne Siegbahn,1924,1916,1916,8,8,https://www.nobelprize.org/images/siegbahn-12937-portrait-small.jpg
10175,gustav hertz,Gustav Hertz,1925,1916,1916,9,9,https://www.nobelprize.org/images/franck-12942-portrait-small.jpg
10176,"franck, j",James Franck,1925,1916,1916,9,9,https://www.nobelprize.org/images/hertz-12943-portrait-small.jpg
10174,"perrin, j",Jean Baptiste Perrin,1926,1908,1908,18,18,https://www.nobelprize.org/images/perrin-12949-portrait-small.jpg
10172,"compton, ah",Arthur H. Compton,1927,1923,1913,4,14,https://www.nobelprize.org/images/compton-12955-portrait-small.jpg
10173,"wilson, ctr",C.T.R. Wilson,1927,1911,1897,16,30,https://www.nobelprize.org/images/wilson-12956-portrait-small.jpg
10171,"richardson, ow",Owen Willans Richardson,1928,1901,1901,27,27,https://www.nobelprize.org/images/richardson-12960-portrait-small.jpg
10170,"broglie, ld",Louis de Broglie,1929,1924,1922,5,7,https://www.nobelprize.org/images/broglie-12967-portrait-small.jpg
10169,"raman, cv",Sir Chandrasekhara Venkata Raman,1930,1928,1917,2,13,https://www.nobelprize.org/images/raman-12972-portrait-small.jpg
10168,"heisenberg, w",Werner Heisenberg,1932,1928,1928,4,4,https://www.nobelprize.org/images/heisenberg-12983-portrait-small.jpg
10166,"schrodinger, e",Erwin Schrödinger,1933,1926,1912,7,21,https://www.nobelprize.org/images/schrodinger-12988-portrait-small.jpg
10167,"dirac, pam",Paul A.M. Dirac,1933,1928,1924,5,9,https://www.nobelprize.org/images/dirac-12987-portrait-small.jpg
10165,"chadwick, j",James Chadwick,1935,1932,1932,3,3,https://www.nobelprize.org/images/chadwick-12999-portrait-small.jpg
10163,victor f. hess,Victor F. Hess,1936,1912,1912,24,24,https://www.nobelprize.org/images/hess-13006-portrait-small.jpg
10164,"anderson, cd",Carl D. Anderson,1936,1933,1932,3,4,https://www.nobelprize.org/images/anderson-13005-portrait-small.jpg
10161,"davisson, cj",Clinton Davisson,1937,1927,1927,10,10,https://www.nobelprize.org/images/davisson-13012-portrait-small.jpg
10162,"thomson, gp",George Paget Thomson,1937,1927,1927,10,10,https://www.nobelprize.org/images/thomson-13013-portrait-small.jpg
10160,"fermi, e",Enrico Fermi,1938,1934,1921,4,17,https://www.nobelprize.org/images/fermi-13018-portrait-small.jpg
10159,"lawrence, eo",Ernest Lawrence,1939,1931,1926,8,13,https://www.nobelprize.org/images/lawrence-13023-portrait-small.jpg
10158,"stern, o",Otto Stern,1943,1922,1913,21,30,https://www.nobelprize.org/images/stern-13027-portrait-small.jpg
10157,"rabi, ii",Isidor Isaac Rabi,1944,1938,1926,6,18,https://www.nobelprize.org/images/rabi-13033-portrait-small.jpg
10156,"pauli, w",Wolfgang Pauli,1945,1925,1925,20,20,https://www.nobelprize.org/images/pauli-13040-portrait-small.jpg
10155,"bridgman, pw",Percy W. Bridgman,1946,1914,1912,32,34,https://www.nobelprize.org/images/bridgman-13048-portrait-small.jpg
10154,"appleton, ev",Edward V. Appleton,1947,1925,1925,22,22,https://www.nobelprize.org/images/appleton-13056-portrait-small.jpg
10153,"blackett, pms",Patrick M.S. Blackett,1948,1932,1932,16,16,https://www.nobelprize.org/images/blackett-13060-portrait-small.jpg
10152,"yukawa, h",Hideki Yukawa,1949,1937,1937,12,12,https://www.nobelprize.org/images/yukawa-13066-portrait-small.jpg
10151,"powell, cf",Cecil Powell,1950,1947,1940,3,10,https://www.nobelprize.org/images/powell-13074-portrait-small.jpg
10149,"walton, ets",Ernest T.S. Walton,1951,1932,1932,19,19,https://www.nobelprize.org/images/cockcroft-13080-portrait-small.jpg
10150,"cockcroft, jd",John Cockcroft,1951,1932,1932,19,19,https://www.nobelprize.org/images/walton-13081-portrait-small.jpg
10147,"bloch, f",Felix Bloch,1952,1946,1929,6,23,https://www.nobelprize.org/images/bloch-13087-portrait-small.jpg
10148,"purcell, em",E. M. Purcell,1952,1946,1937,6,15,https://www.nobelprize.org/images/purcell-13088-portrait-small.jpg
10146,"zernike, f",Frits Zernike,1953,1934,1934,19,19,https://www.nobelprize.org/images/zernike-13094-portrait-small.jpg
10144,"born, m",Max Born,1954,1926,1909,28,45,https://www.nobelprize.org/images/born-13101-portrait-small.jpg
10145,"bothe, w",Walther Bothe,1954,1925,1924,29,30,https://www.nobelprize.org/images/bothe-13102-portrait-small.jpg
10142,"kusch, p",Polykarp Kusch,1955,1948,1938,7,17,https://www.nobelprize.org/images/lamb-13107-portrait-small.jpg
10143,"lamb, we",Willis E. Lamb,1955,1947,1937,8,18,https://www.nobelprize.org/images/kusch-13106-portrait-small.jpg
10139,"bardeen, j",John Bardeen,1956,1947,1930,9,26,https://www.nobelprize.org/images/shockley-13116-portrait-small.jpg
10140,"brattain, wh",Walter H. Brattain,1956,1948,1929,8,27,https://www.nobelprize.org/images/bardeen-13114-portrait-small.jpg
10141,"shockley, w",William B. Shockley,1956,1949,1936,7,20,https://www.nobelprize.org/images/brattain-13115-portrait-small.jpg
10137,"lee, td",Tsung-Dao Lee,1957,1956,1949,1,8,https://www.nobelprize.org/images/yang-13122-portrait-small.jpg
10138,"yang, cn",Chen Ning Yang,1957,1956,1949,1,8,https://www.nobelprize.org/images/lee-13121-portrait-small.jpg
10134,"cherenkov, pa",Pavel A. Cherenkov,1958,1934,1934,24,24,https://www.nobelprize.org/images/cerenkov-13129-portrait-small.jpg
10135,"tamm, i",Igor Y. Tamm,1958,1937,1937,21,21,https://www.nobelprize.org/images/frank-13130-portrait-small.jpg
10136,"frank, i",Il´ja M. Frank,1958,1937,1937,21,21,https://www.nobelprize.org/images/tamm-13131-portrait-small.jpg
10132,"chamberlain, o",Owen Chamberlain,1959,1955,1946,4,13,https://www.nobelprize.org/images/segre-13138-portrait-small.jpg
10133,"segre, e",Emilio Segrè,1959,1955,1930,4,29,https://www.nobelprize.org/images/chamberlain-13137-portrait-small.jpg
10131,"glaser, da",Donald A. Glaser,1960,1952,1952,8,8,https://www.nobelprize.org/images/glaser-13144-portrait-small.jpg
10129,"mossbauer, rl",Rudolf Mössbauer,1961,1958,1958,3,3,https://www.nobelprize.org/images/hofstadter-13149-portrait-small.jpg
10130,"hofstadter, r",Robert Hofstadter,1961,1949,1938,12,23,https://www.nobelprize.org/images/mossbauer-13150-portrait-small.jpg
10128,"landau, l",Lev Landau,1962,1941,1941,21,21,https://www.nobelprize.org/images/landau-13158-portrait-small.jpg
10125,"jensen, jhd",J. Hans D. Jensen,1963,1949,1948,14,15,https://www.nobelprize.org/images/wigner-13169-portrait-small.jpg
10126,"mayer, mg",Maria Goeppert Mayer,1963,1949,1948,14,15,https://www.nobelprize.org/images/mayer-13168-portrait-small.jpg
10127,"wigner, ep",Eugene Wigner,1963,1932,1924,31,39,https://www.nobelprize.org/images/jensen-13167-portrait-small.jpg
10122,"prokhorov, am",Aleksandr M. Prokhorov,1964,1954,1954,10,10,https://www.nobelprize.org/images/townes-13177-portrait-small.jpg
10123,"townes, ch",Charles H. Townes,1964,1958,1939,6,25,https://www.nobelprize.org/images/basov-13175-portrait-small.jpg
10124,"basov, ng",Nicolay G. Basov,1964,1954,1954,10,10,https://www.nobelprize.org/images/prokhorov-13176-portrait-small.jpg
10119,"feynman, rp",Richard P. Feynman,1965,1949,1939,16,26,https://www.nobelprize.org/images/tomonaga-13186-portrait-small.jpg
10120,"schwinger, j",Julian Schwinger,1965,1948,1935,17,30,https://www.nobelprize.org/images/schwinger-13185-portrait-small.jpg
10121,"tomonaga, si",Sin-Itiro Tomonaga,1965,1948,1947,17,18,https://www.nobelprize.org/images/feynman-13184-portrait-small.jpg
10118,"kastler, a",Alfred Kastler,1966,1950,1931,16,35,https://www.nobelprize.org/images/kastler-13191-portrait-small.jpg
10117,"bethe, ha",Hans Bethe,1967,1939,1927,28,40,https://www.nobelprize.org/images/bethe-13199-portrait-small.jpg
10116,"alvarez, lw",Luis Alvarez,1968,1961,1933,7,35,https://www.nobelprize.org/images/alvarez-13206-portrait-small.jpg
10115,"gellmann, m",Murray Gell-Mann,1969,1958,1953,11,16,https://www.nobelprize.org/images/gell-mann-13216-portrait-small.jpg
10113,"neel, l",Louis Néel,1970,1948,1948,22,22,https://www.nobelprize.org/images/alfven-13224-portrait-small.jpg
10114,"alfven, h",Hannes Alfvén,1970,1939,1939,31,31,https://www.nobelprize.org/images/neel-13870-portrait-small.jpg
10112,"gabor, d",Dennis Gabor,1971,1948,1944,23,27,https://www.nobelprize.org/images/gabor-13231-portrait-small.jpg
10109,"schrieffer, jr",Robert Schrieffer,1972,1957,1957,15,15,https://www.nobelprize.org/images/bardeen-13240-portrait-small.jpg
10110,"cooper, ln",Leon N. Cooper,1972,1957,1953,15,19,https://www.nobelprize.org/images/cooper-13241-portrait-small.jpg
10111,"bardeen, j",John Bardeen,1972,1957,1930,15,42,https://www.nobelprize.org/images/shockley-13116-portrait-small.jpg
10106,"esaki, l",Leo Esaki,1973,1958,1958,15,15,https://www.nobelprize.org/images/esaki-13252-portrait-small.jpg
10107,"giaever, i",Ivar Giaever,1973,1961,1960,12,13,https://www.nobelprize.org/images/giaever-13253-portrait-small.jpg
10108,"josephson, bd",Brian D. Josephson,1973,1962,1960,11,13,https://www.nobelprize.org/images/josephson-13254-portrait-small.jpg
10104,"ryle, m",Martin Ryle,1974,1946,1946,28,28,https://www.nobelprize.org/images/ryle-13266-portrait-small.jpg
10105,"hewish, a",Antony Hewish,1974,1968,1950,6,24,https://www.nobelprize.org/images/hewish-13265-portrait-small.jpg
10101,"bohr, a.",Aage N. Bohr,1975,1953,1950,22,25,https://www.nobelprize.org/images/bohr-13276-portrait-small.jpg
10102,"mottelson, br",Ben R. Mottelson,1975,1953,1953,22,22,https://www.nobelprize.org/images/mottelson-13277-portrait-small.jpg
10103,"rainwater, j",James Rainwater,1975,1950,1946,25,29,https://www.nobelprize.org/images/rainwater-13278-portrait-small.jpg
10099,"ting, scc",Samuel C.C. Ting,1976,1974,1966,2,10,https://www.nobelprize.org/images/richter-13286-portrait-small.jpg
10100,"richter, b",Burton Richter,1976,1974,1958,2,18,https://www.nobelprize.org/images/ting-13287-portrait-small.jpg
10096,"mott, n",Sir Nevill F. Mott,1977,1949,1929,28,48,https://www.nobelprize.org/images/anderson-13296-portrait-small.jpg
10097,"anderson, pw",Philip W. Anderson,1977,1958,1949,19,28,https://www.nobelprize.org/images/mott-13297-portrait-small.jpg
10098,"van vleck, jh",John H. Van Vleck,1977,1932,1932,45,45,https://www.nobelprize.org/images/vleck-13298-portrait-small.jpg
10093,"kapitza, pl",Pyotr Kapitsa,1978,1938,1938,40,40,https://www.nobelprize.org/images/kapitsa-13307-portrait-small.jpg
10094,"wilson, rw",Robert Woodrow Wilson,1978,1965,1960,13,18,https://www.nobelprize.org/images/penzias-13308-portrait-small.jpg
10095,"penzias, aa",Arno Penzias,1978,1965,1965,13,13,https://www.nobelprize.org/images/wilson-13309-portrait-small.jpg
10090,"salam, a",Abdus Salam,1979,1968,1950,11,29,https://www.nobelprize.org/images/glashow-13318-portrait-small.jpg
10091,"weinberg, s",Steven Weinberg,1979,1967,1956,12,23,https://www.nobelprize.org/images/salam-13319-portrait-small.jpg
10092,"glashow, sl",Sheldon Glashow,1979,1961,1959,18,20,https://www.nobelprize.org/images/weinberg-13320-portrait-small.jpg
10088,"cronin, jw",James Cronin,1980,1964,1956,16,24,https://www.nobelprize.org/images/cronin-13330-portrait-small.jpg
10089,"fitch, v",Val Fitch,1980,1964,1953,16,27,https://www.nobelprize.org/images/fitch-13331-portrait-small.jpg
10085,"siegbahn, k",Kai M. Siegbahn,1981,1956,1946,25,35,https://www.nobelprize.org/images/bloembergen-13340-portrait-small.jpg
10086,"schawlow, al",Arthur L. Schawlow,1981,1958,1949,23,32,https://www.nobelprize.org/images/schawlow-13341-portrait-small.jpg
10087,"bloember, n",Nicolaas Bloembergen,1981,1962,1946,19,35,https://www.nobelprize.org/images/siegbahn-13342-portrait-small.jpg
10084,"wilson, kg",Kenneth G. Wilson,1982,1971,1962,11,20,https://www.nobelprize.org/images/wilson-13351-portrait-small.jpg
10082,"fowler, wa",William A. Fowler,1983,1951,1934,32,49,https://www.nobelprize.org/images/chandrasekhar-13357-portrait-small.jpg
10083,"chandrasekhar, s",Subramanyan Chandrasekhar,1983,1931,1931,52,52,https://www.nobelprize.org/images/fowler-13358-portrait-small.jpg
10080,"rubbia, c",Carlo Rubbia,1984,1983,1960,1,24,https://www.nobelprize.org/images/rubbia-13367-portrait-small.jpg
